Table 8. Life expectancy in Scotland's council areas split by deprivation quintile 2014-2018,,,,,,,,,
,,,,,,,,,
Council area,SIMD quintile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),,,
Aberdeenshire,4,male,60 to 64,23.30781,22.80101,23.81462,,,
Aberdeenshire,4,male,65 to 69,18.87287,18.37993,19.36581,,,
Aberdeenshire,4,male,70 to 74,14.8804,14.39963,15.36117,,,
Aberdeenshire,4,male,75 to 79,11.47736,11.01242,11.9423,,,
Aberdeenshire,4,male,80 to 84,8.29277,7.83973,8.74581,,,
Aberdeenshire,4,male,85 to 89,5.79618,5.32659,6.26577,,,
Aberdeenshire,4,male,90+,3.7029,3.08508,4.32071,,,
Aberdeenshire,5,female,less than 1,84.59795,83.93469,85.26121,,,
Aberdeenshire,5,female,1 to 4,83.77329,83.13903,84.40756,,,
Aberdeenshire,5,female,5 to 9,79.77329,79.13903,80.40756,,,
Aberdeenshire,5,female,10 to 14,74.77329,74.13903,75.40756,,,
Aberdeenshire,5,female,15 to 19,69.77329,69.13903,70.40756,,,
Aberdeenshire,5,female,20 to 24,64.82129,64.19359,65.449,,,
Aberdeenshire,5,female,25 to 29,59.82129,59.19359,60.449,,,
Aberdeenshire,5,female,30 to 34,54.82129,54.19359,55.449,,,
Aberdeenshire,5,female,35 to 39,49.85251,49.22742,50.47759,,,
Aberdeenshire,5,female,40 to 44,44.95093,44.33203,45.56983,,,
Aberdeenshire,5,female,45 to 49,40.20564,39.60004,40.81124,,,
Aberdeenshire,5,female,50 to 54,35.48975,34.89581,36.0837,,,
Aberdeenshire,5,female,55 to 59,30.80214,30.21941,31.38487,,,
Aberdeenshire,5,female,60 to 64,26.18607,25.61605,26.7561,,,
Aberdeenshire,5,female,65 to 69,21.7466,21.19244,22.30076,,,
Aberdeenshire,5,female,70 to 74,17.4431,16.90286,17.98334,,,
Aberdeenshire,5,female,75 to 79,13.44718,12.92601,13.96835,,,
Aberdeenshire,5,female,80 to 84,9.96935,9.4704,10.4683,,,
Aberdeenshire,5,female,85 to 89,6.88306,6.37619,7.38992,,,
Aberdeenshire,5,female,90+,4.69444,4.06839,5.3205,,,
Aberdeenshire,5,male,less than 1,82.24162,81.51416,82.96907,,,
Aberdeenshire,5,male,1 to 4,81.35211,80.63998,82.06425,,,
Aberdeenshire,5,male,5 to 9,77.39875,76.69209,78.10541,,,
Aberdeenshire,5,male,10 to 14,72.39875,71.69209,73.10541,,,
Aberdeenshire,5,male,15 to 19,67.48258,66.78469,68.18047,,,
Aberdeenshire,5,male,20 to 24,62.60685,61.92194,63.29177,,,
Aberdeenshire,5,male,25 to 29,57.64943,56.96914,58.32973,,,
Aberdeenshire,5,male,30 to 34,52.77472,52.10782,53.44163,,,
Aberdeenshire,5,male,35 to 39,47.96829,47.31705,48.61952,,,
Aberdeenshire,5,male,40 to 44,43.0943,42.4507,43.73791,,,
Aberdeenshire,5,male,45 to 49,38.30152,37.66758,38.93547,,,
Aberdeenshire,5,male,50 to 54,33.42194,32.79217,34.05171,,,
Aberdeenshire,5,male,55 to 59,28.76421,28.14392,29.38449,,,
Aberdeenshire,5,male,60 to 64,24.28362,23.67614,24.89111,,,
Aberdeenshire,5,male,65 to 69,20.17321,19.58197,20.76446,,,
Aberdeenshire,5,male,70 to 74,16.10594,15.52466,16.68722,,,
Aberdeenshire,5,male,75 to 79,12.33118,11.75889,12.90348,,,
Aberdeenshire,5,male,80 to 84,9.00971,8.43484,9.58459,,,
Aberdeenshire,5,male,85 to 89,6.41149,5.78331,7.03968,,,
Aberdeenshire,5,male,90+,4.69369,3.8205,5.56688,,,
Aberdeenshire,all,female,less than 1,82.63219,82.34034,82.92403,,,
Aberdeenshire,all,female,1 to 4,81.77523,81.49432,82.05614,,,
Aberdeenshire,all,female,5 to 9,77.7968,77.51742,78.07619,,,
Aberdeenshire,all,female,10 to 14,72.81593,72.53773,73.09413,,,
Aberdeenshire,all,female,15 to 19,67.82575,67.54818,68.10332,,,
Aberdeenshire,all,female,20 to 24,62.91337,62.6414,63.18535,,,
Aberdeenshire,all,female,25 to 29,57.97188,57.7037,58.24006,,,
Aberdeenshire,all,female,30 to 34,53.0873,52.82547,53.34914,,,
Aberdeenshire,all,female,35 to 39,48.21253,47.95586,48.46919,,,
Aberdeenshire,all,female,40 to 44,43.37375,43.12275,43.62475,,,
Aberdeenshire,all,female,45 to 49,38.62883,38.38516,38.87251,,,
Aberdeenshire,all,female,50 to 54,33.92877,33.69147,34.16608,,,
Aberdeenshire,all,female,55 to 59,29.2984,29.06762,29.52918,,,
Aberdeenshire,all,female,60 to 64,24.81865,24.59656,25.04074,,,
Aberdeenshire,all,female,65 to 69,20.47783,20.26514,20.69052,,,
Aberdeenshire,all,female,70 to 74,16.36358,16.16001,16.56715,,,
Aberdeenshire,all,female,75 to 79,12.5578,12.36518,12.75042,,,
Aberdeenshire,all,female,80 to 84,9.24098,9.06004,9.42193,,,
Aberdeenshire,all,female,85 to 89,6.38028,6.20171,6.55885,,,
Aberdeenshire,all,female,90+,4.36664,4.14425,4.58904,,,
Aberdeenshire,all,male,less than 1,79.19548,78.88674,79.50422,,,
Aberdeenshire,all,male,1 to 4,78.3485,78.04975,78.64725,,,
Aberdeenshire,all,male,5 to 9,74.39771,74.10189,74.69352,,,
Aberdeenshire,all,male,10 to 14,69.42352,69.12905,69.718,,,
Aberdeenshire,all,male,15 to 19,64.45874,64.16614,64.75134,,,
Aberdeenshire,all,male,20 to 24,59.59021,59.30417,59.87625,,,
Aberdeenshire,all,male,25 to 29,54.71748,54.43768,54.99727,,,
Aberdeenshire,all,male,30 to 34,49.90501,49.63404,50.17599,,,
Aberdeenshire,all,male,35 to 39,45.16134,44.90051,45.42217,,,
Aberdeenshire,all,male,40 to 44,40.40801,40.15517,40.66084,,,
Aberdeenshire,all,male,45 to 49,35.77268,35.5293,36.01605,,,
Aberdeenshire,all,male,50 to 54,31.1267,30.89035,31.36306,,,
Aberdeenshire,all,male,55 to 59,26.63061,26.40213,26.8591,,,
Aberdeenshire,all,male,60 to 64,22.29891,22.07956,22.51826,,,
Aberdeenshire,all,male,65 to 69,18.18148,17.97221,18.39075,,,
Aberdeenshire,all,male,70 to 74,14.35634,14.15475,14.55792,,,
Aberdeenshire,all,male,75 to 79,10.91612,10.72336,11.10888,,,
Aberdeenshire,all,male,80 to 84,7.93473,7.74822,8.12123,,,
Aberdeenshire,all,male,85 to 89,5.59926,5.4035,5.79502,,,
Aberdeenshire,all,male,90+,3.81977,3.55491,4.08464,,,
Angus,1,female,less than 1,79.43237,78.41474,80.45,,,
Angus,1,female,1 to 4,78.43237,77.41474,79.45,,,
Angus,1,female,5 to 9,74.43237,73.41474,75.45,,,
Angus,1,female,10 to 14,69.53442,68.5352,70.53364,,,
Angus,1,female,15 to 19,64.53442,63.5352,65.53364,,,
Angus,1,female,20 to 24,59.53442,58.5352,60.53364,,,
Angus,1,female,25 to 29,54.53442,53.5352,55.53364,,,
Angus,1,female,30 to 34,49.65075,48.66238,50.63911,,,
Angus,1,female,35 to 39,44.8173,43.84358,45.79102,,,
Angus,1,female,40 to 44,40.09684,39.14802,41.04566,,,
Angus,1,female,45 to 49,35.55565,34.64383,36.46747,,,
Angus,1,female,50 to 54,31.1363,30.26067,32.01194,,,
Angus,1,female,55 to 59,27.05071,26.22708,27.87435,,,
Angus,1,female,60 to 64,23.05331,22.27533,23.8313,,,
Angus,1,female,65 to 69,19.26121,18.53849,19.98393,,,
Angus,1,female,70 to 74,15.90737,15.24214,16.57261,,,
Angus,1,female,75 to 79,12.40988,11.78815,13.03161,,,
Angus,1,female,80 to 84,9.31897,8.71891,9.91903,,,
Angus,1,female,85 to 89,6.8461,6.22044,7.47175,,,
Angus,1,female,90+,5.10274,4.27502,5.93046,,,
Angus,1,male,less than 1,73.59516,72.42582,74.76449,,,
Angus,1,male,1 to 4,73.06538,71.96359,74.16716,,,
Angus,1,male,5 to 9,69.16026,68.07281,70.24771,,,
Angus,1,male,10 to 14,64.16026,63.07281,65.24771,,,
Angus,1,male,15 to 19,59.16026,58.07281,60.24771,,,
Angus,1,male,20 to 24,54.32764,53.26201,55.39327,,,
Angus,1,male,25 to 29,49.45211,48.39797,50.50624,,,
Angus,1,male,30 to 34,44.89287,43.87405,45.91169,,,
Angus,1,male,35 to 39,40.38334,39.40442,41.36226,,,
Angus,1,male,40 to 44,35.84753,34.90476,36.7903,,,
Angus,1,male,45 to 49,31.70848,30.82927,32.5877,,,
Angus,1,male,50 to 54,27.74059,26.91761,28.56357,,,
Angus,1,male,55 to 59,23.83884,23.06728,24.61041,,,
Angus,1,male,60 to 64,19.77449,19.04535,20.50362,,,
Angus,1,male,65 to 69,16.25763,15.58405,16.93122,,,
Angus,1,male,70 to 74,12.92257,12.27984,13.5653,,,
Angus,1,male,75 to 79,10.11553,9.51595,10.71511,,,
Angus,1,male,80 to 84,7.52967,6.95897,8.10037,,,
Angus,1,male,85 to 89,5.4081,4.80297,6.01323,,,
Angus,1,male,90+,3.80263,2.9477,4.65757,,,
Angus,2,female,less than 1,81.64895,80.61687,82.68103,,,
Angus,2,female,1 to 4,80.80461,79.81668,81.79254,,,
Angus,2,female,5 to 9,76.93705,75.98218,77.89193,,,
Angus,2,female,10 to 14,71.93705,70.98218,72.89193,,,
Angus,2,female,15 to 19,66.93705,65.98218,67.89193,,,
Angus,2,female,20 to 24,61.93705,60.98218,62.89193,,,
Angus,2,female,25 to 29,57.12916,56.20906,58.04925,,,
Angus,2,female,30 to 34,52.12916,51.20906,53.04925,,,
Angus,2,female,35 to 39,47.27083,46.36931,48.17236,,,
Angus,2,female,40 to 44,42.6623,41.80904,43.51556,,,
Angus,2,female,45 to 49,38.01687,37.1975,38.83623,,,
Angus,2,female,50 to 54,33.35083,32.55712,34.14454,,,
Angus,2,female,55 to 59,28.58932,27.80939,29.36926,,,
Angus,2,female,60 to 64,24.44743,23.707,25.18785,,,
Angus,2,female,65 to 69,20.43856,19.74892,21.1282,,,
Angus,2,female,70 to 74,16.35954,15.70339,17.01568,,,
Angus,2,female,75 to 79,12.71374,12.0929,13.33458,,,
Angus,2,female,80 to 84,9.57338,8.99266,10.1541,,,
Angus,2,female,85 to 89,6.63894,6.06652,7.21136,,,
Angus,2,female,90+,4.90476,4.16308,5.64645,,,
Angus,2,male,less than 1,77.46112,76.37908,78.54315,,,
Angus,2,male,1 to 4,76.58986,75.53586,77.64386,,,
Angus,2,male,5 to 9,72.58986,71.53586,73.64386,,,
Angus,2,male,10 to 14,67.58986,66.53586,68.64386,,,
Angus,2,male,15 to 19,62.58986,61.53586,63.64386,,,
Angus,2,male,20 to 24,57.76209,56.73244,58.79173,,,
Angus,2,male,25 to 29,53.08869,52.10397,54.07342,,,
Angus,2,male,30 to 34,48.47352,47.54086,49.40617,,,
Angus,2,male,35 to 39,43.83229,42.94697,44.71762,,,
Angus,2,male,40 to 44,39.21535,38.37656,40.05415,,,
Angus,2,male,45 to 49,34.4749,33.66161,35.28819,,,
Angus,2,male,50 to 54,29.86733,29.08127,30.65338,,,
Angus,2,male,55 to 59,25.46193,24.70563,26.21823,,,
Angus,2,male,60 to 64,21.32484,20.6037,22.04598,,,
Angus,2,male,65 to 69,17.79186,17.13148,18.45224,,,
Angus,2,male,70 to 74,14.07085,13.44425,14.69746,,,
Angus,2,male,75 to 79,10.7672,10.17608,11.35832,,,
Angus,2,male,80 to 84,7.78138,7.21336,8.3494,,,
Angus,2,male,85 to 89,5.44605,4.8804,6.0117,,,
Angus,2,male,90+,3.4023,2.68736,4.11724,,,
Angus,3,female,less than 1,81.96779,80.79287,83.14271,,,
Angus,3,female,1 to 4,81.72478,80.80246,82.64709,,,
Angus,3,female,5 to 9,77.89174,77.0275,78.75598,,,
Angus,3,female,10 to 14,72.89174,72.0275,73.75598,,,
Angus,3,female,15 to 19,67.89174,67.0275,68.75598,,,
Angus,3,female,20 to 24,63.01053,62.17666,63.84439,,,
Angus,3,female,25 to 29,58.25065,57.48275,59.01855,,,
Angus,3,female,30 to 34,53.25065,52.48275,54.01855,,,
Angus,3,female,35 to 39,48.33742,47.58727,49.08756,,,
Angus,3,female,40 to 44,43.33742,42.58727,44.08756,,,
Angus,3,female,45 to 49,38.58559,37.8714,39.29978,,,
Angus,3,female,50 to 54,33.91879,33.23635,34.60123,,,
Angus,3,female,55 to 59,29.21647,28.55587,29.87708,,,
Angus,3,female,60 to 64,24.88704,24.26671,25.50737,,,
Angus,3,female,65 to 69,20.54931,19.96308,21.13553,,,
Angus,3,female,70 to 74,16.37256,15.81639,16.92873,,,
Angus,3,female,75 to 79,12.47499,11.95652,12.99345,,,
Angus,3,female,80 to 84,8.74325,8.26268,9.22382,,,
Angus,3,female,85 to 89,5.88851,5.42601,6.35101,,,
Angus,3,female,90+,4.02525,3.46457,4.58593,,,
Angus,3,male,less than 1,79.74689,78.77128,80.7225,,,
Angus,3,male,1 to 4,78.74689,77.77128,79.7225,,,
Angus,3,male,5 to 9,74.89498,73.96166,75.8283,,,
Angus,3,male,10 to 14,69.89498,68.96166,70.8283,,,
Angus,3,male,15 to 19,64.89498,63.96166,65.8283,,,
Angus,3,male,20 to 24,59.89498,58.96166,60.8283,,,
Angus,3,male,25 to 29,55.09989,54.20749,55.99229,,,
Angus,3,male,30 to 34,50.21009,49.34235,51.07783,,,
Angus,3,male,35 to 39,45.46794,44.64603,46.28984,,,
Angus,3,male,40 to 44,40.7091,39.9292,41.489,,,
Angus,3,male,45 to 49,35.8933,35.13801,36.64859,,,
Angus,3,male,50 to 54,31.05373,30.31136,31.79611,,,
Angus,3,male,55 to 59,26.72472,26.01984,27.42961,,,
Angus,3,male,60 to 64,22.31886,21.64183,22.9959,,,
Angus,3,male,65 to 69,18.36966,17.72843,19.01088,,,
Angus,3,male,70 to 74,14.62496,14.00519,15.24474,,,
Angus,3,male,75 to 79,11.081,10.48354,11.67845,,,
Angus,3,male,80 to 84,8.24716,7.66717,8.82715,,,
Angus,3,male,85 to 89,5.80901,5.19212,6.42589,,,
Angus,3,male,90+,4.37079,3.46271,5.27886,,,
Angus,4,female,less than 1,82.87574,81.6555,84.09598,,,
Angus,4,female,1 to 4,82.85302,81.96878,83.73726,,,
Angus,4,female,5 to 9,78.85302,77.96878,79.73726,,,
Angus,4,female,10 to 14,73.85302,72.96878,74.73726,,,
Angus,4,female,15 to 19,68.85302,67.96878,69.73726,,,
Angus,4,female,20 to 24,63.85302,62.96878,64.73726,,,
Angus,4,female,25 to 29,58.85302,57.96878,59.73726,,,
Angus,4,female,30 to 34,53.85302,52.96878,54.73726,,,
Angus,4,female,35 to 39,48.9438,48.07608,49.81152,,,
Angus,4,female,40 to 44,44.09692,43.25269,44.94115,,,
Angus,4,female,45 to 49,39.36003,38.55079,40.16927,,,
Angus,4,female,50 to 54,34.72008,33.94235,35.49781,,,
Angus,4,female,55 to 59,30.28214,29.54121,31.02307,,,
Angus,4,female,60 to 64,25.82396,25.11775,26.53018,,,
Angus,4,female,65 to 69,21.42606,20.7502,22.10192,,,
Angus,4,female,70 to 74,17.44394,16.79741,18.09047,,,
Angus,4,female,75 to 79,13.58221,12.95895,14.20548,,,
Angus,4,female,80 to 84,10.16479,9.56259,10.76699,,,
Angus,4,female,85 to 89,7.08664,6.4595,7.71379,,,
Angus,4,female,90+,5.45614,4.63835,6.27393,,,
Angus,4,male,less than 1,81.00764,80.06224,81.95303,,,
Angus,4,male,1 to 4,80.16884,79.27592,81.06176,,,
Angus,4,male,5 to 9,76.16884,75.27592,77.06176,,,
Angus,4,male,10 to 14,71.16884,70.27592,72.06176,,,
Angus,4,male,15 to 19,66.16884,65.27592,67.06176,,,
Angus,4,male,20 to 24,61.16884,60.27592,62.06176,,,
Angus,4,male,25 to 29,56.25845,55.38161,57.1353,,,
Angus,4,male,30 to 34,51.25845,50.38161,52.1353,,,
Angus,4,male,35 to 39,46.53429,45.70991,47.35866,,,
Angus,4,male,40 to 44,41.7733,40.99008,42.55653,,,
Angus,4,male,45 to 49,36.96782,36.21228,37.72336,,,
Angus,4,male,50 to 54,32.1488,31.4104,32.8872,,,
Angus,4,male,55 to 59,27.63269,26.92709,28.3383,,,
Angus,4,male,60 to 64,23.13123,22.45524,23.80722,,,
Angus,4,male,65 to 69,18.94515,18.31071,19.57958,,,
Angus,4,male,70 to 74,15.13229,14.53464,15.72993,,,
Angus,4,male,75 to 79,11.46924,10.89626,12.04222,,,
Angus,4,male,80 to 84,8.12069,7.55281,8.68858,,,
Angus,4,male,85 to 89,6.05212,5.43356,6.67069,,,
Angus,4,male,90+,3.92405,3.05873,4.78937,,,
Angus,5,female,less than 1,83.02768,82.02104,84.03433,,,
Angus,5,female,1 to 4,82.39076,81.51446,83.26706,,,
Angus,5,female,5 to 9,78.39076,77.51446,79.26706,,,
Angus,5,female,10 to 14,73.39076,72.51446,74.26706,,,
Angus,5,female,15 to 19,68.49272,67.63825,69.34719,,,
Angus,5,female,20 to 24,63.59215,62.75891,64.42539,,,
Angus,5,female,25 to 29,58.59215,57.75891,59.42539,,,
Angus,5,female,30 to 34,53.8516,53.09606,54.60713,,,
Angus,5,female,35 to 39,48.8516,48.09606,49.60713,,,
Angus,5,female,40 to 44,44.06877,43.35077,44.78676,,,
Angus,5,female,45 to 49,39.22098,38.52132,39.92064,,,
Angus,5,female,50 to 54,34.49974,33.82594,35.17355,,,
Angus,5,female,55 to 59,29.69707,29.03787,30.35627,,,
Angus,5,female,60 to 64,25.25629,24.63623,25.87636,,,
Angus,5,female,65 to 69,20.87946,20.29706,21.46186,,,
Angus,5,female,70 to 74,16.63279,16.07658,17.18901,,,
Angus,5,female,75 to 79,12.68164,12.15776,13.20553,,,
Angus,5,female,80 to 84,9.35438,8.87011,9.83865,,,
Angus,5,female,85 to 89,6.38933,5.91762,6.86104,,,
Angus,5,female,90+,4.51293,3.93221,5.09366,,,
Angus,5,male,less than 1,81.15553,80.13708,82.17398,,,
Angus,5,male,1 to 4,80.31998,79.35181,81.28815,,,
Angus,5,male,5 to 9,76.45329,75.5194,77.38718,,,
Angus,5,male,10 to 14,71.45329,70.5194,72.38718,,,
Angus,5,male,15 to 19,66.45329,65.5194,67.38718,,,
Angus,5,male,20 to 24,61.45329,60.5194,62.38718,,,
Angus,5,male,25 to 29,56.55662,55.64332,57.46993,,,
Angus,5,male,30 to 34,51.67152,50.78447,52.55856,,,
Angus,5,male,35 to 39,46.96863,46.14239,47.79486,,,
Angus,5,male,40 to 44,42.26568,41.48689,43.04446,,,
Angus,5,male,45 to 49,37.49265,36.74185,38.24345,,,
Angus,5,male,50 to 54,32.74482,32.01623,33.47341,,,
Angus,5,male,55 to 59,28.18792,27.4866,28.88924,,,
Angus,5,male,60 to 64,23.65937,22.98699,24.33175,,,
Angus,5,male,65 to 69,19.30366,18.66211,19.9452,,,
Angus,5,male,70 to 74,15.20603,14.58529,15.82676,,,
Angus,5,male,75 to 79,11.58772,10.98335,12.19208,,,
Angus,5,male,80 to 84,8.72802,8.14481,9.31123,,,
Angus,5,male,85 to 89,5.98197,5.35131,6.61262,,,
Angus,5,male,90+,4.19101,3.32029,5.06173,,,
Angus,all,female,less than 1,81.89783,81.42711,82.36854,,,
Angus,all,female,1 to 4,81.28799,80.86999,81.70599,,,
Angus,all,female,5 to 9,77.34348,76.93232,77.75464,,,
Angus,all,female,10 to 14,72.36769,71.95914,72.77623,,,
Angus,all,female,15 to 19,67.39072,66.98454,67.7969,,,
Angus,all,female,20 to 24,62.43319,62.03103,62.83534,,,
Angus,all,female,25 to 29,57.5138,57.11893,57.90866,,,
Angus,all,female,30 to 34,52.58887,52.20038,52.97736,,,
Angus,all,female,35 to 39,47.69685,47.31585,48.07785,,,
Angus,all,female,40 to 44,42.9172,42.54996,43.28444,,,
Angus,all,female,45 to 49,38.21697,37.86485,38.5691,,,
Angus,all,female,50 to 54,33.59468,33.25657,33.9328,,,
Angus,all,female,55 to 59,29.02337,28.69787,29.34887,,,
Angus,all,female,60 to 64,24.75244,24.44572,25.05915,,,
Angus,all,female,65 to 69,20.55258,20.26467,20.84049,,,
Angus,all,female,70 to 74,16.55188,16.2794,16.82437,,,
Angus,all,female,75 to 79,12.76215,12.50511,13.01919,,,
Angus,all,female,80 to 84,9.40955,9.16783,9.65127,,,
Angus,all,female,85 to 89,6.53515,6.29345,6.77684,,,
Angus,all,female,90+,4.74973,4.44197,5.05749,,,
Angus,all,male,less than 1,78.49783,78.0136,78.98206,,,
Angus,all,male,1 to 4,77.71788,77.25692,78.17883,,,
Angus,all,male,5 to 9,73.79305,73.33956,74.24654,,,
Angus,all,male,10 to 14,68.79305,68.33956,69.24654,,,
Angus,all,male,15 to 19,63.79305,63.33956,64.24654,,,
Angus,all,male,20 to 24,58.86533,58.41686,59.31379,,,
Angus,all,male,25 to 29,54.03639,53.59928,54.4735,,,
Angus,all,male,30 to 34,49.29425,48.87488,49.71362,,,
Angus,all,male,35 to 39,44.65295,44.25682,45.04908,,,
Angus,all,male,40 to 44,39.99645,39.62067,40.37223,,,
Angus,all,male,45 to 49,35.36767,35.01015,35.72518,,,
Angus,all,male,50 to 54,30.79132,30.44824,31.1344,,,
Angus,all,male,55 to 59,26.45277,26.12632,26.77922,,,
Angus,all,male,60 to 64,22.13034,21.81925,22.44143,,,
Angus,all,male,65 to 69,18.22142,17.9311,18.51174,,,
Angus,all,male,70 to 74,14.4749,14.19785,14.75194,,,
Angus,all,male,75 to 79,11.05926,10.7946,11.32392,,,
Angus,all,male,80 to 84,8.11837,7.8622,8.37453,,,
Angus,all,male,85 to 89,5.76203,5.49054,6.03353,,,
Angus,all,male,90+,3.94524,3.56792,4.32255,,,
Argyll and Bute,1,female,less than 1,78.8756,77.61872,80.13248,,,
Argyll and Bute,1,female,1 to 4,78.08406,76.89211,79.27601,,,
Argyll and Bute,1,female,5 to 9,74.08406,72.89211,75.27601,,,
Argyll and Bute,1,female,10 to 14,69.08406,67.89211,70.27601,,,
Argyll and Bute,1,female,15 to 19,64.08406,62.89211,65.27601,,,
Argyll and Bute,1,female,20 to 24,59.24806,58.0971,60.39903,,,
Argyll and Bute,1,female,25 to 29,54.36746,53.23811,55.4968,,,
Argyll and Bute,1,female,30 to 34,49.36746,48.23811,50.4968,,,
Argyll and Bute,1,female,35 to 39,44.58832,43.49593,45.68072,,,
Argyll and Bute,1,female,40 to 44,39.80251,38.74566,40.85936,,,
Argyll and Bute,1,female,45 to 49,35.37552,34.39136,36.35967,,,
Argyll and Bute,1,female,50 to 54,30.68761,29.73289,31.64232,,,
Argyll and Bute,1,female,55 to 59,26.31733,25.40472,27.22995,,,
Argyll and Bute,1,female,60 to 64,22.40092,21.55138,23.25047,,,
Argyll and Bute,1,female,65 to 69,18.96017,18.2024,19.71794,,,
Argyll and Bute,1,female,70 to 74,15.10301,14.3935,15.81253,,,
Argyll and Bute,1,female,75 to 79,11.48344,10.81492,12.15196,,,
Argyll and Bute,1,female,80 to 84,8.87727,8.2366,9.51794,,,
Argyll and Bute,1,female,85 to 89,6.86373,6.20064,7.52682,,,
Argyll and Bute,1,female,90+,4.63934,3.81609,5.4626,,,
Argyll and Bute,1,male,less than 1,72.47855,71.07764,73.87946,,,
Argyll and Bute,1,male,1 to 4,71.47855,70.07764,72.87946,,,
Argyll and Bute,1,male,5 to 9,67.81059,66.48071,69.14047,,,
Argyll and Bute,1,male,10 to 14,62.81059,61.48071,64.14047,,,
Argyll and Bute,1,male,15 to 19,57.81059,56.48071,59.14047,,,
Argyll and Bute,1,male,20 to 24,52.94339,51.63603,54.25074,,,
Argyll and Bute,1,male,25 to 29,48.14564,46.86345,49.42784,,,
Argyll and Bute,1,male,30 to 34,43.91539,42.72769,45.10308,,,
Argyll and Bute,1,male,35 to 39,39.19021,38.03607,40.34435,,,
Argyll and Bute,1,male,40 to 44,34.67259,33.58348,35.7617,,,
Argyll and Bute,1,male,45 to 49,30.17011,29.13947,31.20074,,,
Argyll and Bute,1,male,50 to 54,26.40538,25.46686,27.34389,,,
Argyll and Bute,1,male,55 to 59,22.37015,21.48043,23.25987,,,
Argyll and Bute,1,male,60 to 64,18.71976,17.88953,19.54999,,,
Argyll and Bute,1,male,65 to 69,15.63464,14.87967,16.38962,,,
Argyll and Bute,1,male,70 to 74,12.70996,12.01235,13.40757,,,
Argyll and Bute,1,male,75 to 79,9.61522,8.95047,10.27998,,,
Argyll and Bute,1,male,80 to 84,7.26163,6.61952,7.90373,,,
Argyll and Bute,1,male,85 to 89,5.07875,4.40592,5.75158,,,
Argyll and Bute,1,male,90+,3.67391,2.6122,4.73562,,,
Argyll and Bute,2,female,less than 1,81.54506,80.41385,82.67627,,,
Argyll and Bute,2,female,1 to 4,80.77717,79.73822,81.81611,,,
Argyll and Bute,2,female,5 to 9,76.77717,75.73822,77.81611,,,
Argyll and Bute,2,female,10 to 14,71.94679,70.9601,72.93348,,,
Argyll and Bute,2,female,15 to 19,66.94679,65.9601,67.93348,,,
Argyll and Bute,2,female,20 to 24,62.25485,61.36058,63.14912,,,
Argyll and Bute,2,female,25 to 29,57.25485,56.36058,58.14912,,,
Argyll and Bute,2,female,30 to 34,52.25485,51.36058,53.14912,,,
Argyll and Bute,2,female,35 to 39,47.25485,46.36058,48.14912,,,
Argyll and Bute,2,female,40 to 44,42.36864,41.50035,43.23693,,,
Argyll and Bute,2,female,45 to 49,37.36864,36.50035,38.23693,,,
Argyll and Bute,2,female,50 to 54,32.60731,31.76516,33.44945,,,
Argyll and Bute,2,female,55 to 59,28.16588,27.36963,28.96214,,,
Argyll and Bute,2,female,60 to 64,23.93785,23.19716,24.67854,,,
Argyll and Bute,2,female,65 to 69,20.07908,19.40908,20.74908,,,
Argyll and Bute,2,female,70 to 74,15.97949,15.34721,16.61176,,,
Argyll and Bute,2,female,75 to 79,12.1186,11.52694,12.71025,,,
Argyll and Bute,2,female,80 to 84,8.84338,8.29362,9.39313,,,
Argyll and Bute,2,female,85 to 89,5.76697,5.22115,6.31278,,,
Argyll and Bute,2,female,90+,4.125,3.43172,4.81828,,,
Argyll and Bute,2,male,less than 1,77.45578,76.12986,78.7817,,,
Argyll and Bute,2,male,1 to 4,76.45578,75.12986,77.7817,,,
Argyll and Bute,2,male,5 to 9,72.63849,71.35859,73.91839,,,
Argyll and Bute,2,male,10 to 14,67.63849,66.35859,68.91839,,,
Argyll and Bute,2,male,15 to 19,62.7861,61.53642,64.03577,,,
Argyll and Bute,2,male,20 to 24,57.7861,56.53642,59.03577,,,
Argyll and Bute,2,male,25 to 29,52.7861,51.53642,54.03577,,,
Argyll and Bute,2,male,30 to 34,48.68567,47.64132,49.73002,,,
Argyll and Bute,2,male,35 to 39,43.8329,42.82587,44.83992,,,
Argyll and Bute,2,male,40 to 44,38.95903,37.97975,39.93831,,,
Argyll and Bute,2,male,45 to 49,34.38505,33.46828,35.30182,,,
Argyll and Bute,2,male,50 to 54,29.89419,29.03335,30.75504,,,
Argyll and Bute,2,male,55 to 59,25.67179,24.86979,26.47379,,,
Argyll and Bute,2,male,60 to 64,21.4797,20.72786,22.23154,,,
Argyll and Bute,2,male,65 to 69,17.41945,16.71246,18.12645,,,
Argyll and Bute,2,male,70 to 74,13.80409,13.13089,14.47729,,,
