"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Inverness and Nairn,male,40 to 44,39.34189,38.72407,39.96,,,
Inverness and Nairn,male,45 to 49,34.98688,34.40454,35.57,,,
Inverness and Nairn,male,50 to 54,30.62132,30.06571,31.18,,,
Inverness and Nairn,male,55 to 59,26.34356,25.81097,26.88,,,
Inverness and Nairn,male,60 to 64,22.12373,21.61296,22.63,,,
Inverness and Nairn,male,65 to 69,18.13417,17.6468,18.62,,,
Inverness and Nairn,male,70 to 74,14.54759,14.08117,15.01,,,
Inverness and Nairn,male,75 to 79,11.26433,10.81478,11.71,,,
Inverness and Nairn,male,80 to 84,8.31104,7.87591,8.75,,,
Inverness and Nairn,male,85 to 89,6.09018,5.6262,6.55,,,
Inverness and Nairn,male,90+,4.24706,3.60862,4.89,,,
Kilmarnock and Irvine Valley,female,less than 1,80.40968,79.7458,81.07,,,
Kilmarnock and Irvine Valley,female,1 to 4,79.60917,78.9832,80.24,,,
Kilmarnock and Irvine Valley,female,5 to 9,75.60917,74.9832,76.24,,,
Kilmarnock and Irvine Valley,female,10 to 14,70.66265,70.04506,71.28,,,
Kilmarnock and Irvine Valley,female,15 to 19,65.66265,65.04506,66.28,,,
Kilmarnock and Irvine Valley,female,20 to 24,60.66265,60.04506,61.28,,,
Kilmarnock and Irvine Valley,female,25 to 29,55.66265,55.04506,56.28,,,
Kilmarnock and Irvine Valley,female,30 to 34,50.90653,50.31312,51.50,,,
Kilmarnock and Irvine Valley,female,35 to 39,45.99895,45.4137,46.58,,,
Kilmarnock and Irvine Valley,female,40 to 44,41.37125,40.81708,41.93,,,
Kilmarnock and Irvine Valley,female,45 to 49,36.73706,36.20951,37.26,,,
Kilmarnock and Irvine Valley,female,50 to 54,32.13938,31.63189,32.65,,,
Kilmarnock and Irvine Valley,female,55 to 59,27.68209,27.19638,28.17,,,
Kilmarnock and Irvine Valley,female,60 to 64,23.19519,22.72856,23.66,,,
Kilmarnock and Irvine Valley,female,65 to 69,19.04287,18.605,19.48,,,
Kilmarnock and Irvine Valley,female,70 to 74,15.06383,14.65102,15.48,,,
Kilmarnock and Irvine Valley,female,75 to 79,11.57441,11.18864,11.96,,,
Kilmarnock and Irvine Valley,female,80 to 84,8.36136,8.00244,8.72,,,
Kilmarnock and Irvine Valley,female,85 to 89,5.8297,5.46605,6.19,,,
Kilmarnock and Irvine Valley,female,90+,4.23127,3.75795,4.70,,,
Kilmarnock and Irvine Valley,male,less than 1,76.2187,75.43264,77.00,,,
Kilmarnock and Irvine Valley,male,1 to 4,75.51068,74.76443,76.26,,,
Kilmarnock and Irvine Valley,male,5 to 9,71.66651,70.9398,72.39,,,
Kilmarnock and Irvine Valley,male,10 to 14,66.66651,65.9398,67.39,,,
Kilmarnock and Irvine Valley,male,15 to 19,61.66651,60.9398,62.39,,,
Kilmarnock and Irvine Valley,male,20 to 24,56.75568,56.03847,57.47,,,
Kilmarnock and Irvine Valley,male,25 to 29,52.01494,51.32049,52.71,,,
Kilmarnock and Irvine Valley,male,30 to 34,47.42264,46.7619,48.08,,,
Kilmarnock and Irvine Valley,male,35 to 39,42.80227,42.17182,43.43,,,
Kilmarnock and Irvine Valley,male,40 to 44,38.25599,37.65893,38.85,,,
Kilmarnock and Irvine Valley,male,45 to 49,33.8232,33.26347,34.38,,,
Kilmarnock and Irvine Valley,male,50 to 54,29.43211,28.90024,29.96,,,
Kilmarnock and Irvine Valley,male,55 to 59,25.20986,24.70553,25.71,,,
Kilmarnock and Irvine Valley,male,60 to 64,20.94252,20.45981,21.43,,,
Kilmarnock and Irvine Valley,male,65 to 69,16.93173,16.47578,17.39,,,
Kilmarnock and Irvine Valley,male,70 to 74,13.35997,12.92888,13.79,,,
Kilmarnock and Irvine Valley,male,75 to 79,10.12021,9.70243,10.54,,,
Kilmarnock and Irvine Valley,male,80 to 84,7.46762,7.0577,7.88,,,
Kilmarnock and Irvine Valley,male,85 to 89,5.44989,4.99473,5.91,,,
Kilmarnock and Irvine Valley,male,90+,3.96124,3.27766,4.64,,,
Kirkcaldy,female,less than 1,79.84896,79.07317,80.62,,,
Kirkcaldy,female,1 to 4,79.3638,78.66987,80.06,,,
Kirkcaldy,female,5 to 9,75.3638,74.66987,76.06,,,
Kirkcaldy,female,10 to 14,70.3638,69.66987,71.06,,,
Kirkcaldy,female,15 to 19,65.41875,64.73267,66.10,,,
Kirkcaldy,female,20 to 24,60.47165,59.79287,61.15,,,
Kirkcaldy,female,25 to 29,55.5638,54.89606,56.23,,,
Kirkcaldy,female,30 to 34,50.63335,49.97174,51.29,,,
Kirkcaldy,female,35 to 39,45.89417,45.25413,46.53,,,
Kirkcaldy,female,40 to 44,41.53213,40.94693,42.12,,,
Kirkcaldy,female,45 to 49,36.94517,36.39236,37.50,,,
Kirkcaldy,female,50 to 54,32.33793,31.8063,32.87,,,
Kirkcaldy,female,55 to 59,27.8231,27.31299,28.33,,,
Kirkcaldy,female,60 to 64,23.54999,23.06847,24.03,,,
Kirkcaldy,female,65 to 69,19.34909,18.89618,19.80,,,
Kirkcaldy,female,70 to 74,15.58808,15.16708,16.01,,,
Kirkcaldy,female,75 to 79,11.97551,11.58384,12.37,,,
Kirkcaldy,female,80 to 84,8.84451,8.48376,9.21,,,
Kirkcaldy,female,85 to 89,6.2094,5.85676,6.56,,,
Kirkcaldy,female,90+,4.16102,3.72755,4.59,,,
Kirkcaldy,male,less than 1,74.8859,74.0282,75.74,,,
Kirkcaldy,male,1 to 4,74.50728,73.725,75.29,,,
Kirkcaldy,male,5 to 9,70.61176,69.84187,71.38,,,
Kirkcaldy,male,10 to 14,65.7039,64.94364,66.46,,,
Kirkcaldy,male,15 to 19,60.75306,59.99833,61.51,,,
Kirkcaldy,male,20 to 24,55.84726,55.10269,56.59,,,
Kirkcaldy,male,25 to 29,51.01946,50.29186,51.75,,,
Kirkcaldy,male,30 to 34,46.26634,45.5584,46.97,,,
Kirkcaldy,male,35 to 39,41.73237,41.06029,42.40,,,
Kirkcaldy,male,40 to 44,37.26421,36.62953,37.90,,,
Kirkcaldy,male,45 to 49,33.01065,32.42122,33.60,,,
Kirkcaldy,male,50 to 54,28.56584,28.00138,29.13,,,
Kirkcaldy,male,55 to 59,24.46679,23.93348,25.00,,,
Kirkcaldy,male,60 to 64,20.45884,19.95461,20.96,,,
Kirkcaldy,male,65 to 69,16.72382,16.25108,17.20,,,
Kirkcaldy,male,70 to 74,13.48282,13.03648,13.93,,,
Kirkcaldy,male,75 to 79,10.367,9.93558,10.80,,,
Kirkcaldy,male,80 to 84,7.60934,7.18816,8.03,,,
Kirkcaldy,male,85 to 89,5.66969,5.19135,6.15,,,
Kirkcaldy,male,90+,4.60544,3.86094,5.35,,,
Linlithgow,female,less than 1,80.90885,80.25329,81.56,,,
Linlithgow,female,1 to 4,80.11962,79.49574,80.74,,,
Linlithgow,female,5 to 9,76.16688,75.54953,76.78,,,
Linlithgow,female,10 to 14,71.20719,70.59458,71.82,,,
Linlithgow,female,15 to 19,66.20719,65.59458,66.82,,,
Linlithgow,female,20 to 24,61.46814,60.8897,62.05,,,
Linlithgow,female,25 to 29,56.50626,55.9323,57.08,,,
Linlithgow,female,30 to 34,51.56933,51.00139,52.14,,,
Linlithgow,female,35 to 39,46.79015,46.23829,47.34,,,
Linlithgow,female,40 to 44,41.99091,41.45236,42.53,,,
Linlithgow,female,45 to 49,37.11262,36.58129,37.64,,,
Linlithgow,female,50 to 54,32.45468,31.93767,32.97,,,
Linlithgow,female,55 to 59,27.94916,27.44949,28.45,,,
Linlithgow,female,60 to 64,23.44555,22.9617,23.93,,,
Linlithgow,female,65 to 69,19.22498,18.76582,19.68,,,
Linlithgow,female,70 to 74,15.23348,14.79765,15.67,,,
Linlithgow,female,75 to 79,11.64565,11.22795,12.06,,,
Linlithgow,female,80 to 84,8.68421,8.27716,9.09,,,
Linlithgow,female,85 to 89,6.33226,5.89638,6.77,,,
Linlithgow,female,90+,4.81377,4.21343,5.41,,,
Linlithgow,male,less than 1,77.97295,77.29517,78.65,,,
Linlithgow,male,1 to 4,77.01959,76.34759,77.69,,,
Linlithgow,male,5 to 9,73.06056,72.39301,73.73,,,
Linlithgow,male,10 to 14,68.1325,67.47176,68.79,,,
Linlithgow,male,15 to 19,63.17018,62.51321,63.83,,,
Linlithgow,male,20 to 24,58.21097,57.55844,58.86,,,
Linlithgow,male,25 to 29,53.35219,52.71285,53.99,,,
Linlithgow,male,30 to 34,48.63955,48.02477,49.25,,,
Linlithgow,male,35 to 39,43.99412,43.40334,44.58,,,
Linlithgow,male,40 to 44,39.16918,38.5885,39.75,,,
Linlithgow,male,45 to 49,34.51963,33.95643,35.08,,,
Linlithgow,male,50 to 54,30.0335,29.48838,30.58,,,
Linlithgow,male,55 to 59,25.76882,25.24364,26.29,,,
Linlithgow,male,60 to 64,21.53457,21.02787,22.04,,,
Linlithgow,male,65 to 69,17.58225,17.10107,18.06,,,
Linlithgow,male,70 to 74,13.99181,13.53348,14.45,,,
Linlithgow,male,75 to 79,10.60865,10.16001,11.06,,,
Linlithgow,male,80 to 84,7.84423,7.38935,8.30,,,
Linlithgow,male,85 to 89,6.00137,5.47413,6.53,,,
Linlithgow,male,90+,4.36923,3.61815,5.12,,,
Mid Fife and Glenrothes,female,less than 1,80.49252,79.69793,81.29,,,
Mid Fife and Glenrothes,female,1 to 4,79.81487,79.08257,80.55,,,
Mid Fife and Glenrothes,female,5 to 9,75.81487,75.08257,76.55,,,
Mid Fife and Glenrothes,female,10 to 14,70.81487,70.08257,71.55,,,
Mid Fife and Glenrothes,female,15 to 19,65.81487,65.08257,66.55,,,
Mid Fife and Glenrothes,female,20 to 24,60.9331,60.21801,61.65,,,
Mid Fife and Glenrothes,female,25 to 29,56.14996,55.46452,56.84,,,
Mid Fife and Glenrothes,female,30 to 34,51.32922,50.66438,51.99,,,
Mid Fife and Glenrothes,female,35 to 39,46.49446,45.84739,47.14,,,
Mid Fife and Glenrothes,female,40 to 44,41.83076,41.21323,42.45,,,
Mid Fife and Glenrothes,female,45 to 49,37.1906,36.60518,37.78,,,
Mid Fife and Glenrothes,female,50 to 54,32.64389,32.08555,33.20,,,
Mid Fife and Glenrothes,female,55 to 59,28.10046,27.56194,28.64,,,
Mid Fife and Glenrothes,female,60 to 64,23.83297,23.32335,24.34,,,
Mid Fife and Glenrothes,female,65 to 69,19.62898,19.14846,20.11,,,
Mid Fife and Glenrothes,female,70 to 74,15.57869,15.12212,16.04,,,
Mid Fife and Glenrothes,female,75 to 79,12.04873,11.61901,12.48,,,
Mid Fife and Glenrothes,female,80 to 84,8.85264,8.45024,9.26,,,
Mid Fife and Glenrothes,female,85 to 89,6.17734,5.77518,6.58,,,
Mid Fife and Glenrothes,female,90+,4.28832,3.78055,4.80,,,
Mid Fife and Glenrothes,male,less than 1,76.29336,75.43238,77.15,,,
Mid Fife and Glenrothes,male,1 to 4,75.72045,74.92536,76.52,,,
Mid Fife and Glenrothes,male,5 to 9,71.78275,70.99643,72.57,,,
Mid Fife and Glenrothes,male,10 to 14,66.83837,66.05901,67.62,,,
Mid Fife and Glenrothes,male,15 to 19,61.89186,61.11894,62.66,,,
Mid Fife and Glenrothes,male,20 to 24,56.94187,56.17453,57.71,,,
Mid Fife and Glenrothes,male,25 to 29,52.13624,51.39018,52.88,,,
Mid Fife and Glenrothes,male,30 to 34,47.39716,46.67698,48.12,,,
Mid Fife and Glenrothes,male,35 to 39,42.72875,42.04089,43.42,,,
Mid Fife and Glenrothes,male,40 to 44,38.2268,37.5818,38.87,,,
Mid Fife and Glenrothes,male,45 to 49,33.87863,33.28851,34.47,,,
Mid Fife and Glenrothes,male,50 to 54,29.60331,29.05212,30.15,,,
Mid Fife and Glenrothes,male,55 to 59,25.21544,24.69043,25.74,,,
Mid Fife and Glenrothes,male,60 to 64,20.86304,20.36,21.37,,,
Mid Fife and Glenrothes,male,65 to 69,16.82024,16.34438,17.30,,,
Mid Fife and Glenrothes,male,70 to 74,13.51666,13.07514,13.96,,,
Mid Fife and Glenrothes,male,75 to 79,10.19444,9.77262,10.62,,,
Mid Fife and Glenrothes,male,80 to 84,7.47232,7.0687,7.88,,,
Mid Fife and Glenrothes,male,85 to 89,5.29377,4.87272,5.71,,,
Mid Fife and Glenrothes,male,90+,3.47143,2.89639,4.05,,,
Midlothian North and Musselburgh,female,less than 1,81.22476,80.57728,81.87,,,
Midlothian North and Musselburgh,female,1 to 4,80.38769,79.76572,81.01,,,
Midlothian North and Musselburgh,female,5 to 9,76.38769,75.76572,77.01,,,
Midlothian North and Musselburgh,female,10 to 14,71.38769,70.76572,72.01,,,
Midlothian North and Musselburgh,female,15 to 19,66.38769,65.76572,67.01,,,
Midlothian North and Musselburgh,female,20 to 24,61.43089,60.81429,62.05,,,
Midlothian North and Musselburgh,female,25 to 29,56.54071,55.93561,57.15,,,
Midlothian North and Musselburgh,female,30 to 34,51.63691,51.04061,52.23,,,
Midlothian North and Musselburgh,female,35 to 39,46.75216,46.16525,47.34,,,
Midlothian North and Musselburgh,female,40 to 44,42.06111,41.49674,42.63,,,
Midlothian North and Musselburgh,female,45 to 49,37.26399,36.71451,37.81,,,
Midlothian North and Musselburgh,female,50 to 54,32.53739,32.00129,33.07,,,
Midlothian North and Musselburgh,female,55 to 59,28.00529,27.48676,28.52,,,
Midlothian North and Musselburgh,female,60 to 64,23.76532,23.27178,24.26,,,
Midlothian North and Musselburgh,female,65 to 69,19.68823,19.22708,20.15,,,
Midlothian North and Musselburgh,female,70 to 74,15.75509,15.32117,16.19,,,
Midlothian North and Musselburgh,female,75 to 79,12.1162,11.70859,12.52,,,
Midlothian North and Musselburgh,female,80 to 84,8.91498,8.53752,9.29,,,
Midlothian North and Musselburgh,female,85 to 89,6.25108,5.8788,6.62,,,
Midlothian North and Musselburgh,female,90+,4.03344,3.57625,4.49,,,
Midlothian North and Musselburgh,male,less than 1,77.79973,77.02715,78.57,,,
Midlothian North and Musselburgh,male,1 to 4,77.13939,76.40555,77.87,,,
Midlothian North and Musselburgh,male,5 to 9,73.13939,72.40555,73.87,,,
Midlothian North and Musselburgh,male,10 to 14,68.1858,67.45713,68.91,,,
Midlothian North and Musselburgh,male,15 to 19,63.1858,62.45713,63.91,,,
Midlothian North and Musselburgh,male,20 to 24,58.22822,57.50381,58.95,,,
Midlothian North and Musselburgh,male,25 to 29,53.41298,52.7045,54.12,,,
Midlothian North and Musselburgh,male,30 to 34,48.79136,48.11382,49.47,,,
Midlothian North and Musselburgh,male,35 to 39,44.00345,43.34127,44.67,,,
Midlothian North and Musselburgh,male,40 to 44,39.38144,38.74352,40.02,,,
Midlothian North and Musselburgh,male,45 to 49,34.90529,34.29893,35.51,,,
Midlothian North and Musselburgh,male,50 to 54,30.23554,29.64367,30.83,,,
Midlothian North and Musselburgh,male,55 to 59,25.71473,25.13801,26.29,,,
Midlothian North and Musselburgh,male,60 to 64,21.44339,20.88227,22.00,,,
Midlothian North and Musselburgh,male,65 to 69,17.70537,17.1694,18.24,,,
Midlothian North and Musselburgh,male,70 to 74,14.21297,13.69192,14.73,,,
Midlothian North and Musselburgh,male,75 to 79,10.94329,10.42079,11.47,,,
Midlothian North and Musselburgh,male,80 to 84,8.46348,7.92087,9.01,,,
Midlothian North and Musselburgh,male,85 to 89,6.51971,5.8866,7.15,,,
Midlothian North and Musselburgh,male,90+,4.88889,3.96684,5.81,,,
"Midlothian South, Tweeddale and Lauderdale",female,less than 1,82.73284,82.01024,83.46,,,
"Midlothian South, Tweeddale and Lauderdale",female,1 to 4,81.94017,81.25489,82.63,,,
"Midlothian South, Tweeddale and Lauderdale",female,5 to 9,77.94017,77.25489,78.63,,,
"Midlothian South, Tweeddale and Lauderdale",female,10 to 14,72.99677,72.32002,73.67,,,
"Midlothian South, Tweeddale and Lauderdale",female,15 to 19,67.99677,67.32002,68.67,,,
"Midlothian South, Tweeddale and Lauderdale",female,20 to 24,63.20476,62.55728,63.85,,,
"Midlothian South, Tweeddale and Lauderdale",female,25 to 29,58.34917,57.72111,58.98,,,
"Midlothian South, Tweeddale and Lauderdale",female,30 to 34,53.39307,52.77044,54.02,,,
"Midlothian South, Tweeddale and Lauderdale",female,35 to 39,48.54376,47.93705,49.15,,,
"Midlothian South, Tweeddale and Lauderdale",female,40 to 44,43.73902,43.1502,44.33,,,
"Midlothian South, Tweeddale and Lauderdale",female,45 to 49,38.89928,38.3223,39.48,,,
"Midlothian South, Tweeddale and Lauderdale",female,50 to 54,34.26956,33.71126,34.83,,,
"Midlothian South, Tweeddale and Lauderdale",female,55 to 59,29.81374,29.27866,30.35,,,
"Midlothian South, Tweeddale and Lauderdale",female,60 to 64,25.42241,24.91064,25.93,,,
"Midlothian South, Tweeddale and Lauderdale",female,65 to 69,20.94668,20.45269,21.44,,,
"Midlothian South, Tweeddale and Lauderdale",female,70 to 74,16.88419,16.4122,17.36,,,
"Midlothian South, Tweeddale and Lauderdale",female,75 to 79,13.02479,12.572,13.48,,,
"Midlothian South, Tweeddale and Lauderdale",female,80 to 84,9.54736,9.11263,9.98,,,
"Midlothian South, Tweeddale and Lauderdale",female,85 to 89,6.76719,6.32471,7.21,,,
"Midlothian South, Tweeddale and Lauderdale",female,90+,4.60662,4.05916,5.15,,,
"Midlothian South, Tweeddale and Lauderdale",male,less than 1,78.8731,78.09856,79.65,,,
"Midlothian South, Tweeddale and Lauderdale",male,1 to 4,78.13295,77.39891,78.87,,,
"Midlothian South, Tweeddale and Lauderdale",male,5 to 9,74.13295,73.39891,74.87,,,
"Midlothian South, Tweeddale and Lauderdale",male,10 to 14,69.18313,68.45519,69.91,,,
"Midlothian South, Tweeddale and Lauderdale",male,15 to 19,64.18313,63.45519,64.91,,,
"Midlothian South, Tweeddale and Lauderdale",male,20 to 24,59.32142,58.60887,60.03,,,
"Midlothian South, Tweeddale and Lauderdale",male,25 to 29,54.54624,53.85866,55.23,,,
"Midlothian South, Tweeddale and Lauderdale",male,30 to 34,49.68331,49.01165,50.35,,,
"Midlothian South, Tweeddale and Lauderdale",male,35 to 39,45.20037,44.58295,45.82,,,
"Midlothian South, Tweeddale and Lauderdale",male,40 to 44,40.4767,39.88572,41.07,,,
"Midlothian South, Tweeddale and Lauderdale",male,45 to 49,35.88473,35.32464,36.44,,,
"Midlothian South, Tweeddale and Lauderdale",male,50 to 54,31.29061,30.75128,31.83,,,
"Midlothian South, Tweeddale and Lauderdale",male,55 to 59,26.86369,26.34713,27.38,,,
"Midlothian South, Tweeddale and Lauderdale",male,60 to 64,22.55405,22.06289,23.05,,,
"Midlothian South, Tweeddale and Lauderdale",male,65 to 69,18.39566,17.92918,18.86,,,
"Midlothian South, Tweeddale and Lauderdale",male,70 to 74,14.48115,14.03621,14.93,,,
"Midlothian South, Tweeddale and Lauderdale",male,75 to 79,11.0363,10.61287,11.46,,,
"Midlothian South, Tweeddale and Lauderdale",male,80 to 84,7.87991,7.48174,8.28,,,
"Midlothian South, Tweeddale and Lauderdale",male,85 to 89,5.54198,5.14139,5.94,,,
"Midlothian South, Tweeddale and Lauderdale",male,90+,3.27848,2.76727,3.79,,,
Moray,female,less than 1,81.84487,81.1234,82.57,,,
Moray,female,1 to 4,80.99899,80.30851,81.69,,,
Moray,female,5 to 9,77.06862,76.39115,77.75,,,
Moray,female,10 to 14,72.12557,71.45684,72.79,,,
Moray,female,15 to 19,67.12557,66.45684,67.79,,,
Moray,female,20 to 24,62.33293,61.69368,62.97,,,
Moray,female,25 to 29,57.42911,56.80288,58.06,,,
Moray,female,30 to 34,52.5533,51.94163,53.16,,,
Moray,female,35 to 39,47.68943,47.09081,48.29,,,
Moray,female,40 to 44,42.82346,42.23766,43.41,,,
Moray,female,45 to 49,38.01345,37.44205,38.58,,,
Moray,female,50 to 54,33.28768,32.73022,33.85,,,
Moray,female,55 to 59,28.76763,28.22954,29.31,,,
Moray,female,60 to 64,24.45973,23.94687,24.97,,,
Moray,female,65 to 69,20.22996,19.74116,20.72,,,
Moray,female,70 to 74,16.36346,15.89899,16.83,,,
Moray,female,75 to 79,12.61147,12.16307,13.06,,,
Moray,female,80 to 84,9.64297,9.21311,10.07,,,
Moray,female,85 to 89,6.92185,6.47566,7.37,,,
Moray,female,90+,4.82182,4.25192,5.39,,,
Moray,male,less than 1,78.71415,77.95553,79.47,,,
Moray,male,1 to 4,77.8453,77.10752,78.58,,,
Moray,male,5 to 9,73.8453,73.10752,74.58,,,
Moray,male,10 to 14,68.89538,68.16364,69.63,,,
Moray,male,15 to 19,63.94396,63.2179,64.67,,,
Moray,male,20 to 24,59.0701,58.35672,59.78,,,
Moray,male,25 to 29,54.29443,53.60118,54.99,,,
Moray,male,30 to 34,49.72732,49.07296,50.38,,,
Moray,male,35 to 39,44.95916,44.32454,45.59,,,
Moray,male,40 to 44,40.29901,39.69192,40.91,,,
Moray,male,45 to 49,35.66696,35.08536,36.25,,,
Moray,male,50 to 54,31.01499,30.44873,31.58,,,
Moray,male,55 to 59,26.5158,25.96682,27.06,,,
Moray,male,60 to 64,22.22671,21.6988,22.75,,,
Moray,male,65 to 69,18.13455,17.62836,18.64,,,
Moray,male,70 to 74,14.62225,14.13622,15.11,,,
Moray,male,75 to 79,11.31323,10.83678,11.79,,,
Moray,male,80 to 84,8.77645,8.29519,9.26,,,
Moray,male,85 to 89,6.32889,5.79761,6.86,,,
Moray,male,90+,4.58219,3.83891,5.33,,,
Motherwell and Wishaw,female,less than 1,79.11482,78.41858,79.81,,,
Motherwell and Wishaw,female,1 to 4,78.24888,77.57671,78.92,,,
Motherwell and Wishaw,female,5 to 9,74.30967,73.64761,74.97,,,
Motherwell and Wishaw,female,10 to 14,69.30967,68.64761,69.97,,,
Motherwell and Wishaw,female,15 to 19,64.36188,63.70726,65.02,,,
Motherwell and Wishaw,female,20 to 24,59.41069,58.76258,60.06,,,
Motherwell and Wishaw,female,25 to 29,54.41069,53.76258,55.06,,,
Motherwell and Wishaw,female,30 to 34,49.48324,48.84208,50.12,,,
Motherwell and Wishaw,female,35 to 39,44.74903,44.1282,45.37,,,
Motherwell and Wishaw,female,40 to 44,39.91736,39.30884,40.53,,,
Motherwell and Wishaw,female,45 to 49,35.47933,34.90878,36.05,,,
Motherwell and Wishaw,female,50 to 54,30.91474,30.36511,31.46,,,
Motherwell and Wishaw,female,55 to 59,26.48865,25.96085,27.02,,,
Motherwell and Wishaw,female,60 to 64,22.27935,21.77983,22.78,,,
Motherwell and Wishaw,female,65 to 69,18.10379,17.63152,18.58,,,
Motherwell and Wishaw,female,70 to 74,14.55838,14.12736,14.99,,,
Motherwell and Wishaw,female,75 to 79,11.07844,10.68161,11.48,,,
Motherwell and Wishaw,female,80 to 84,8.27635,7.91311,8.64,,,
Motherwell and Wishaw,female,85 to 89,5.72572,5.35872,6.09,,,
Motherwell and Wishaw,female,90+,3.96327,3.46699,4.46,,,
Motherwell and Wishaw,male,less than 1,74.5054,73.63695,75.37,,,
Motherwell and Wishaw,male,1 to 4,73.97255,73.16122,74.78,,,
Motherwell and Wishaw,male,5 to 9,69.97255,69.16122,70.78,,,
Motherwell and Wishaw,male,10 to 14,64.97255,64.16122,65.78,,,
Motherwell and Wishaw,male,15 to 19,59.97255,59.16122,60.78,,,
Motherwell and Wishaw,male,20 to 24,55.24254,54.4567,56.03,,,
Motherwell and Wishaw,male,25 to 29,50.46762,49.69933,51.24,,,
Motherwell and Wishaw,male,30 to 34,45.97657,45.24458,46.71,,,
Motherwell and Wishaw,male,35 to 39,41.55154,40.85703,42.25,,,
Motherwell and Wishaw,male,40 to 44,37.12126,36.45867,37.78,,,
Motherwell and Wishaw,male,45 to 49,32.64799,32.01478,33.28,,,
Motherwell and Wishaw,male,50 to 54,28.55694,27.95685,29.16,,,
Motherwell and Wishaw,male,55 to 59,24.52184,23.94878,25.09,,,
Motherwell and Wishaw,male,60 to 64,20.55152,20.0056,21.10,,,
Motherwell and Wishaw,male,65 to 69,16.70867,16.18998,17.23,,,
Motherwell and Wishaw,male,70 to 74,13.24332,12.74947,13.74,,,
Motherwell and Wishaw,male,75 to 79,10.43956,9.96952,10.91,,,
Motherwell and Wishaw,male,80 to 84,7.72367,7.25583,8.19,,,
Motherwell and Wishaw,male,85 to 89,5.79812,5.26752,6.33,,,
Motherwell and Wishaw,male,90+,4.06422,3.30123,4.83,,,
Na h-Eileanan an Iar,female,less than 1,82.75084,81.63728,83.86,,,
Na h-Eileanan an Iar,female,1 to 4,81.75084,80.63728,82.86,,,
Na h-Eileanan an Iar,female,5 to 9,77.75084,76.63728,78.86,,,
Na h-Eileanan an Iar,female,10 to 14,72.75084,71.63728,73.86,,,
Na h-Eileanan an Iar,female,15 to 19,67.75084,66.63728,68.86,,,
Na h-Eileanan an Iar,female,20 to 24,62.92063,61.85506,63.99,,,
Na h-Eileanan an Iar,female,25 to 29,57.92063,56.85506,58.99,,,
Na h-Eileanan an Iar,female,30 to 34,53.07884,52.05635,54.10,,,
Na h-Eileanan an Iar,female,35 to 39,48.20909,47.21635,49.20,,,
Na h-Eileanan an Iar,female,40 to 44,43.41144,42.45473,44.37,,,
Na h-Eileanan an Iar,female,45 to 49,38.57856,37.6464,39.51,,,
Na h-Eileanan an Iar,female,50 to 54,33.88634,32.98612,34.79,,,
Na h-Eileanan an Iar,female,55 to 59,29.49343,28.64385,30.34,,,
Na h-Eileanan an Iar,female,60 to 64,25.21494,24.41961,26.01,,,
Na h-Eileanan an Iar,female,65 to 69,21.02015,20.27904,21.76,,,
Na h-Eileanan an Iar,female,70 to 74,17.15278,16.4679,17.84,,,
Na h-Eileanan an Iar,female,75 to 79,13.26626,12.63022,13.90,,,
Na h-Eileanan an Iar,female,80 to 84,9.65821,9.06301,10.25,,,
Na h-Eileanan an Iar,female,85 to 89,6.60084,6.01833,7.18,,,
Na h-Eileanan an Iar,female,90+,4.47771,3.77728,5.18,,,
Na h-Eileanan an Iar,male,less than 1,77.44157,76.07644,78.81,,,
Na h-Eileanan an Iar,male,1 to 4,76.44157,75.07644,77.81,,,
Na h-Eileanan an Iar,male,5 to 9,72.63581,71.32127,73.95,,,
Na h-Eileanan an Iar,male,10 to 14,67.63581,66.32127,68.95,,,
Na h-Eileanan an Iar,male,15 to 19,62.63581,61.32127,63.95,,,
Na h-Eileanan an Iar,male,20 to 24,57.94675,56.69805,59.20,,,
Na h-Eileanan an Iar,male,25 to 29,53.24027,52.05308,54.43,,,
Na h-Eileanan an Iar,male,30 to 34,48.52453,47.39795,49.65,,,
Na h-Eileanan an Iar,male,35 to 39,43.88741,42.82942,44.95,,,
Na h-Eileanan an Iar,male,40 to 44,39.40102,38.43041,40.37,,,
Na h-Eileanan an Iar,male,45 to 49,34.79417,33.87643,35.71,,,
Na h-Eileanan an Iar,male,50 to 54,30.16289,29.27625,31.05,,,
Na h-Eileanan an Iar,male,55 to 59,25.87908,25.04181,26.72,,,
Na h-Eileanan an Iar,male,60 to 64,21.58969,20.79026,22.39,,,
Na h-Eileanan an Iar,male,65 to 69,17.48158,16.71887,18.24,,,
Na h-Eileanan an Iar,male,70 to 74,14.03891,13.30575,14.77,,,
Na h-Eileanan an Iar,male,75 to 79,11.1027,10.39358,11.81,,,
Na h-Eileanan an Iar,male,80 to 84,8.16258,7.45078,8.87,,,
Na h-Eileanan an Iar,male,85 to 89,5.76067,4.9717,6.55,,,
Na h-Eileanan an Iar,male,90+,4.72222,3.4627,5.98,,,
North East Fife,female,less than 1,83.04735,82.33918,83.76,,,
North East Fife,female,1 to 4,82.16162,81.48882,82.83,,,
North East Fife,female,5 to 9,78.16162,77.48882,78.83,,,
