"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2019-2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,40 to 44,39.55,39.00,40.10,25.88,24.13,27.62,65.43,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,45 to 49,35.02,34.51,35.54,22.43,20.88,23.99,64.05,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,50 to 54,30.63,30.15,31.11,19.10,17.65,20.55,62.37,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,55 to 59,26.36,25.91,26.82,16.08,14.72,17.44,61.00,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,60 to 64,22.09,21.66,22.53,13.15,11.88,14.42,59.53,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,65 to 69,18.13,17.72,18.54,10.46,9.27,11.65,57.71,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,70 to 74,14.41,14.04,14.79,7.98,6.83,9.13,55.35,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,75 to 79,11.05,10.70,11.40,5.80,4.63,6.96,52.43,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,80 to 84,8.15,7.84,8.46,4.18,3.14,5.23,51.34,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,85 to 89,5.57,5.28,5.86,2.86,2.00,3.71,51.26,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,90+,3.40,3.05,3.75,1.82,1.13,2.51,53.52,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,<1,73.42,72.61,74.23,56.40,54.00,58.81,76.82,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,1 to 4,72.88,72.13,73.63,55.86,53.45,58.28,76.65,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,5 to 9,68.98,68.24,69.72,52.38,50.03,54.73,75.94,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,10 to 14,63.98,63.24,64.72,47.90,45.65,50.15,74.86,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,15 to 19,59.06,58.33,59.79,43.45,41.30,45.60,73.57,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,20 to 24,54.26,53.55,54.97,39.10,37.05,41.15,72.06,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,25 to 29,49.57,48.88,50.25,34.81,32.80,36.82,70.23,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,30 to 34,44.90,44.23,45.57,30.63,28.76,32.50,68.22,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,35 to 39,40.31,39.66,40.95,26.63,24.85,28.40,66.06,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,40 to 44,35.75,35.14,36.37,22.74,21.06,24.41,63.59,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Male,45 to 49,31.56,31.00,32.13,19.18,17.59,20.76,60.76,,,,,,,,,,,,,,,,
